community_id,community_name,community_aliases,community_type,local_govt_council,ward,land_council,electorate,ntg_region,population_count,population_source,latitude,longitude,bushtel_url
1022,10 MILE,"PALPANG,TEN MILE",Family Outstation,BARKLY,ALYAWARR,CENTRAL LAND COUNCIL,BARKLY,BARKLY,8,Homelands Service Provider Report 2023,-20.40628,134.75934,https://bushtel.nt.gov.au/profile/1022
1004,10 MILE OUTSTATION,TEN MILE OUTSTATION,Family Outstation,CENTRAL DESERT,ANMATJERE,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,10,Homelands Service Provider Report 2023,-22.46667,132.37658,https://bushtel.nt.gov.au/profile/1004
783,16 MILE CAMP,"ATHENGE-LHERE,BOND SPRINGS",Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,,Not recorded,-23.45764,133.83248,https://bushtel.nt.gov.au/profile/783
24993,20 MILE,WUMAYALINJA,Family Outstation,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,BIG RIVERS,6,Homelands Service Provider Report 2023,-16.08535,136.54826,https://bushtel.nt.gov.au/profile/24993
1006,4 MILE CAMP,"FOUR MILE CAMP,NGUIU 4 MILE CAMP",Family Outstation,TIWI ISLANDS,BATHURST ISLAND WARD,TIWI LAND COUNCIL,ARAFURA,TOP END,7,Homelands Service Provider Report 2023,-11.77798,130.59548,https://bushtel.nt.gov.au/profile/1006
759,5 MILE BORE,5 MILE,Family Outstation,MACDONNELL,LURITJA PINTUBI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,24,Homelands Service Provider Report 2023,-23.23265,131.98296,https://bushtel.nt.gov.au/profile/759
279,ACACIA LARRAKIA,ACACIA GAP,Family Outstation,LITCHFIELD,SOUTH WARD,NORTHERN LAND COUNCIL,GOYDER,"DARWIN, PALMERSTON, LITCHFIELD",,Not recorded,-12.8142,131.1715,https://bushtel.nt.gov.au/profile/279
979,ADBANAE,TREPANG BAY,Family Outstation,WEST ARNHEM,BARRAH,NORTHERN LAND COUNCIL,ARAFURA,TOP END,,Not recorded,-11.24167,131.97531,https://bushtel.nt.gov.au/profile/979
1,ADELAIDE BORE,"WOOLA,WOOLLA",Family Outstation,CENTRAL DESERT,ANMATJERE,CENTRAL LAND COUNCIL,BARKLY,CENTRAL AUSTRALIA,14,Homelands Service Provider Report 2023,-22.21485,133.93607,https://bushtel.nt.gov.au/profile/1
895,ADJAMARRAGU,No aliases recorded with NTG DIPL,Family Outstation,WEST ARNHEM,BARRAH,NORTHERN LAND COUNCIL,ARAFURA,TOP END,,Not recorded,-11.15182,132.47559,https://bushtel.nt.gov.au/profile/895
787,AKARNENEHE WELL,APIWENTYE,Family Outstation,CENTRAL DESERT,AKITYARRE,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,,Not recorded,-23.05992,136.19361,https://bushtel.nt.gov.au/profile/787
959,AKWALIRRUMANJA,"4 MILE,FOUR MILE",Family Outstation,EAST ARNHEM,ANINDILYAKWA,ANINDILYAKWA LAND COUNCIL,ARNHEM,EAST ARNHEM,35,Homelands Service Provider Report 2023,-13.86346,136.77866,https://bushtel.nt.gov.au/profile/959
280,ALAMIRRA,ALAMIRR,Family Outstation,WEST ARNHEM,BARRAH,NORTHERN LAND COUNCIL,ARAFURA,TOP END,4,Homelands Service Provider Report 2023,-11.06745,132.52835,https://bushtel.nt.gov.au/profile/280
693,ALATYEYE,TURNERS CAMP,Family Outstation,CENTRAL DESERT,ANMATJERE,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,3,Homelands Service Provider Report 2023,-23.09733,134.21897,https://bushtel.nt.gov.au/profile/693
441,ALHARRGAN,CAPE BARROW,Family Outstation,ROPER GULF,NUMBULWAR NUMBURINDI,NORTHERN LAND COUNCIL,ARNHEM,BIG RIVERS,6,Homelands Service Provider Report 2023,-13.67507,136.05261,https://bushtel.nt.gov.au/profile/441
852,ALICE WELL,RITJINGKA,Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,6,Homelands Service Provider Report 2023,-24.88123,134.22962,https://bushtel.nt.gov.au/profile/852
