community_id,community_name,community_aliases,community_type,local_govt_council,ward,land_council,electorate,ntg_region,population_count,population_source,latitude,longitude,bushtel_url,Mobile_Coverage_Listed,Coverage_Match_Status,Coverage_Match_Method,Coverage_Matched_Input_Name,Coverage_Match_Distance_km,Coverage_SITE NAME,Coverage_SITE TYPE,Coverage_POPULATION,Coverage_MACRO CELL,Coverage_SMALL CELL,Coverage_PROXIMITY TO CELL,Coverage_PROVIDER,Coverage_LATITUDE,Coverage_LONGITUDE,Nearest_Telstra_km,Nearest_Telstra_Technology,Nearest_Telstra_Active_Bands,Nearest_Telstra_Year,Nearest_Telstra_MNO,Nearest_Telstra_RFNSA ID,Nearest_Telstra_Latitude,Nearest_Telstra_Longitude,Nearest_Telstra_GSM900,Nearest_Telstra_IoT700,Nearest_Telstra_LTE700,Nearest_Telstra_LTE850,Nearest_Telstra_LTE1800,Nearest_Telstra_LTE2100,Nearest_Telstra_LTE2600,Nearest_Telstra_NR700,Nearest_Telstra_NR850,Nearest_Telstra_NR2100,Nearest_Telstra_NR2600,Nearest_Telstra_NR3600,Nearest_Telstra_NR26000,Nearest_Telstra_Co_funded,Nearest_Telstra_Co_contribution_program,Nearest_Telstra_Round,Nearest_Optus_km,Nearest_Optus_Technology,Nearest_Optus_Active_Bands,Nearest_Optus_Year,Nearest_Optus_MNO,Nearest_Optus_RFNSA ID,Nearest_Optus_Latitude,Nearest_Optus_Longitude,Nearest_Optus_NBIoT700,Nearest_Optus_UMTS900,Nearest_Optus_UMTS2100,Nearest_Optus_LTE700,Nearest_Optus_LTE900,Nearest_Optus_LTE1800,Nearest_Optus_LTE2100,Nearest_Optus_LTE2300,Nearest_Optus_LTE2600,Nearest_Optus_NR700,Nearest_Optus_NR900,Nearest_Optus_NR2100,Nearest_Optus_NR2300,Nearest_Optus_NR3500,Nearest_Optus_NR26000,Nearest_Optus_Co_funded,Nearest_Optus_Co_contribution_program,Nearest_Optus_Round,Nearest_TPG_km,Nearest_TPG_Technology,Nearest_TPG_Active_Bands,Nearest_TPG_Year,Nearest_TPG_MNO,Nearest_TPG_RFNSA ID,Nearest_TPG_Latitude,Nearest_TPG_Longitude,Nearest_TPG_NBIoT850,Nearest_TPG_LTE700,Nearest_TPG_LTE850,Nearest_TPG_LTE1800,Nearest_TPG_LTE2100,Nearest_TPG_NR700,Nearest_TPG_NR1800,Nearest_TPG_NR2100,Nearest_TPG_NR3600,Nearest_TPG_NR26000,Nearest_TPG_Co_funded,Nearest_TPG_Co_contribution_program,Nearest_TPG_Round,Nearest_Any_Site_km,Nearest_Any_Provider,Infrastructure_Isolation_Rank,Nearest_Primary_School,Nearest_Primary_School_km,Nearest_Primary_School_Type,Nearest_Primary_School_Sector,Nearest_Primary_School_Remoteness,Nearest_Primary_School_Campus_Type,Nearest_Primary_School_Special,Nearest_Primary_School_Latitude,Nearest_Primary_School_Longitude,Nearest_Primary_ACARA_SML_ID,Nearest_Primary_Location_AGE_ID,Nearest_Primary_School_AGE_ID,Nearest_Primary_Rolled_School_ID,Nearest_Secondary_School,Nearest_Secondary_School_km,Nearest_Secondary_School_Type,Nearest_Secondary_School_Sector,Nearest_Secondary_School_Remoteness,Nearest_Secondary_School_Campus_Type,Nearest_Secondary_School_Special,Nearest_Secondary_School_Latitude,Nearest_Secondary_School_Longitude,Nearest_Secondary_ACARA_SML_ID,Nearest_Secondary_Location_AGE_ID,Nearest_Secondary_School_AGE_ID,Nearest_Secondary_Rolled_School_ID,Secondary_vs_Mobile_Distance_Difference_km,Primary_vs_Mobile_Distance_Difference_km,Mobile_Further_Than_Primary,Mobile_Further_Than_Secondary,Secondary_Over_50km,Mobile_Site_Over_50km,Education_Mobile_Isolation_Review,ILOC_CODE_2021,ILOC_NAME_2021,IAREA_CODE_2021,IAREA_NAME_2021,IREG_CODE_2021,IREG_NAME_2021,ILOC_STATE_CODE_2021,ILOC_STATE_NAME_2021,ILOC_AREA_SQKM_2021,ILOC_Match_Method,ILOC_Match_Status,ILOC_Indigenous_Population_Male,ILOC_Indigenous_Population_Female,ILOC_Indigenous_Population,ILOC_Indigenous_Age_0_4,ILOC_Indigenous_Age_5_14,ILOC_Indigenous_Age_15_24,ILOC_Indigenous_Age_25_44,ILOC_Indigenous_Age_45_64,ILOC_Indigenous_Age_65_Plus,ILOC_Indigenous_Median_Age,ILOC_Indigenous_Median_Personal_Income_Weekly,ILOC_Indigenous_Household_Median_Income_Weekly,ILOC_Indigenous_Household_Avg_Persons_Per_Bedroom,ILOC_Indigenous_Household_Avg_Size,ILOC_Indigenous_Dwellings_Needing_Extra_Bedrooms_Pct,ILOC_Indigenous_Preschool_Students,ILOC_Indigenous_Primary_Students,ILOC_Indigenous_Secondary_Students,ILOC_Indigenous_Persons_Age_15_Plus,ILOC_Indigenous_Employed,ILOC_Indigenous_Unemployed,ILOC_Indigenous_Labour_Force,ILOC_Indigenous_Not_In_Labour_Force,ILOC_Indigenous_Unemployment_Pct,ILOC_Indigenous_Labour_Force_Participation_Pct,ILOC_Indigenous_Employment_To_Population_Pct,ILOC_Indigenous_Age_0_14,Demographic_Source,Demographic_Geography_Type,Demographic_Census_Year
1022,10 MILE,"PALPANG,TEN MILE",Family Outstation,BARKLY,ALYAWARR,CENTRAL LAND COUNCIL,BARKLY,BARKLY,8.0,Homelands Service Provider Report 2023,-20.40628,134.75934,https://bushtel.nt.gov.au/profile/1022,Not listed,Not confirmed,,,,,,,,,,,,,52.54393108202401,4G/LTE + IoT,"IoT700, LTE700",2025,Telstra,872166,-20.4463912,135.2617646,,Y,Y,,,,,,,,,,,Y,REGIONAL CO-INVESTMENT: NT RTCP - Greenfield Macro,2.0,53.6750177602735,3G/UMTS + 4G/LTE,"UMTS900, LTE700",2025,Optus,872187,-20.5558,134.2694,,Y,,Y,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4.0,494.197845113987,4G/LTE,LTE850,2025,TPG,4825002,-20.73424,139.49366,,,Y,,,,,,,,,,,52.54393108202401,Telstra,114,Epenarra School,51.48569821589339,Combined,Government,Very Remote,School Single Entity,0,-20.46311,135.24972,50089,56549.0,16549.0,50089,Epenarra School,51.48569821589339,Combined,Government,Very Remote,School Single Entity,0,-20.46311,135.24972,50089,56549.0,16549.0,50089,-1.0582328661306164,-1.0582328661306164,Yes,Yes,Yes,Yes,Review,70700304,Julalikari - Outstations,707003,Barkly,707,Tennant Creek,7,Northern Territory,107784.4629,Within polygon,Matched,67,66,137,15,28,18,41,25,8,27,369,1020,1.4,4.2,31.0,4,26,10,90,13,20,34,41,60.0,39.8,15.9,43,ABS 2021 Census Indigenous Profile,Indigenous Location (ILOC),2021
1004,10 MILE OUTSTATION,TEN MILE OUTSTATION,Family Outstation,CENTRAL DESERT,ANMATJERE,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,10.0,Homelands Service Provider Report 2023,-22.46667,132.37658,https://bushtel.nt.gov.au/profile/1004,Not listed,Not confirmed,,,,,,,,,,,,,29.1161552866319,4G/LTE + IoT,"IoT700, LTE700",2025,Telstra,872177,-22.25834811,132.205041,,Y,Y,,,,,,,,,,,Y,REGIONAL CO-INVESTMENT: NT RTCP - Greenfield Macro,2.0,101.458483225186,3G/UMTS,UMTS900,2025,Optus,870011,-22.64468,133.34561,,Y,,,,,,,,,,,,,,,,,760.5049826783832,4G/LTE,LTE850,2025,TPG,4825002,-20.73424,139.49366,,,Y,,,,,,,,,,,29.1161552866319,Telstra,289,Mount Allan School,29.082618681745927,Combined,Government,Very Remote,School Single Entity,0,-22.2566,132.2081,50105,56567.0,16567.0,50105,Mount Allan School,29.082618681745927,Combined,Government,Very Remote,School Single Entity,0,-22.2566,132.2081,50105,56567.0,16567.0,50105,-0.0335366048859739,-0.0335366048859739,Yes,Yes,No,No,,70900301,Anmatjere - Surrounds,709003,Anmatjere,709,Apatula,7,Northern Territory,49609.3293,Within polygon,Matched,59,43,104,14,10,13,33,25,7,31,226,675,1.5,4.1,40.9,4,12,6,78,0,10,15,58,80.0,19.5,3.9,24,ABS 2021 Census Indigenous Profile,Indigenous Location (ILOC),2021
783,16 MILE CAMP,"ATHENGE-LHERE,BOND SPRINGS",Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,,Not recorded,-23.45764,133.83248,https://bushtel.nt.gov.au/profile/783,Not listed,Not confirmed,,,,,,,,,,,,,17.12930359509756,4G/LTE + IoT,"IoT700, LTE700",2025,Telstra,870010,-23.52395,133.68087,,Y,Y,,,,,,,,,,,,,,23.751876348551253,4G/LTE + IoT,"NBIoT700, LTE700, LTE2600",2025,Optus,870052,-23.66924,133.864338,Y,,,Y,,,,,Y,,,,,,,,,,657.0883740531511,4G/LTE,LTE850,2025,TPG,4825002,-20.73424,139.49366,,,Y,,,,,,,,,,,17.12930359509756,Telstra,399,Braitling Primary School,24.69757437184141,Primary,Government,Remote,School Single Entity,0,-23.677393,133.867691,50016,47884.0,7884.0,50016,St Philip's College,26.38758346103528,Secondary,Independent,Remote,School Single Entity,0,-23.690364169117,133.883128746033,50155,53284.0,13284.0,50155,9.258279865937716,7.5682707767438515,No,No,No,No,,70901402,Ingkerreke Outstations,709014,West MacDonnell Ranges,709,Apatula,7,Northern Territory,9777.1413,Within polygon,Matched,106,82,189,20,24,23,62,45,11,32,341,762,1.2,2.9,16.1,6,15,3,141,14,4,14,92,23.5,12.3,9.4,44,ABS 2021 Census Indigenous Profile,Indigenous Location (ILOC),2021
24993,20 MILE,WUMAYALINJA,Family Outstation,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,BIG RIVERS,6.0,Homelands Service Provider Report 2023,-16.08535,136.54826,https://bushtel.nt.gov.au/profile/24993,Not listed,Not confirmed,,,,,,,,,,,,,26.113405360581098,4G/LTE + IoT,"IoT700, LTE700, LTE1800, LTE2100, LTE2600",2025,Telstra,854001,-16.05361,136.30611,,Y,Y,,Y,Y,Y,,,,,,,,,,110.0333169891824,3G/UMTS,UMTS900,2025,Optus,852089,-16.6834,135.7265,,Y,,,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2.0,603.0877457815972,4G/LTE,LTE850,2025,TPG,4825002,-20.73424,139.49366,,,Y,,,,,,,,,,,26.113405360581098,Telstra,317,Borroloola School,26.00870878611581,Combined,Government,Very Remote,School Single Entity,0,-16.0582,136.30649,50056,47921.0,7921.0,50056,Borroloola School,26.00870878611581,Combined,Government,Very Remote,School Single Entity,0,-16.0582,136.30649,50056,47921.0,7921.0,50056,-0.104696574465283,-0.104696574465283,Yes,Yes,No,No,,70500401,Mabunji - Mungoorbada Outstations,705004,Gulf,705,Katherine,7,Northern Territory,55041.1368,Within polygon,Matched,62,43,104,7,17,23,30,21,8,30,407,916,1.9,3.6,48.1,4,12,3,79,23,9,28,52,22.2,34.6,26.9,24,ABS 2021 Census Indigenous Profile,Indigenous Location (ILOC),2021
1006,4 MILE CAMP,"FOUR MILE CAMP,NGUIU 4 MILE CAMP",Family Outstation,TIWI ISLANDS,BATHURST ISLAND WARD,TIWI LAND COUNCIL,ARAFURA,TOP END,7.0,Homelands Service Provider Report 2023,-11.77798,130.59548,https://bushtel.nt.gov.au/profile/1006,Not listed,Not confirmed,,,,,,,,,,,,,5.112035751766897,4G/LTE + IoT,"IoT700, LTE700, LTE2600",2025,Telstra,822025,-11.75639,130.63694,,Y,Y,,,,Y,,,,,,,,,,71.41847524710633,4G/LTE + IoT,"NBIoT700, LTE700, LTE1800, LTE2100, LTE2600",2025,Optus,810002,-12.355865,130.882125,Y,,,Y,,Y,Y,,Y,,,,,,,,,,71.39339476868956,4G/LTE,"LTE850, LTE1800, LTE2100",2025,TPG,810002,-12.35583,130.88167,,,Y,Y,Y,,,,,,,,,5.112035751766897,Telstra,570,Murrupurtiyanuwu Catholic Primary School,5.122420739365796,Primary,Catholic,Remote,School Single Entity,0,-11.758671,130.638203,50143,53313.0,13313.0,50143,Xavier Catholic College,5.257931563610253,Secondary,Catholic,Remote,School Single Entity,0,-11.757347,130.63894,50146,53314.0,13314.0,50146,0.1458958118433555,0.0103849875988988,No,No,No,No,,70400603,Tiwi Islands - Wilderness,704006,Tiwi Islands,704,Jabiru - Tiwi,7,Northern Territory,7449.7682,Within polygon,Matched,77,62,141,9,43,42,29,13,3,16,185,949,1.5,4.0,30.4,0,20,48,87,22,7,33,54,31.3,36.8,25.3,52,ABS 2021 Census Indigenous Profile,Indigenous Location (ILOC),2021
759,5 MILE BORE,5 MILE,Family Outstation,MACDONNELL,LURITJA PINTUBI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,24.0,Homelands Service Provider Report 2023,-23.23265,131.98296,https://bushtel.nt.gov.au/profile/759,Not listed,Not confirmed,,,,,,,,,,,,,7.666817840447307,4G/LTE + IoT,"IoT700, LTE700",2025,Telstra,872058,-23.19087,131.92328,,Y,Y,,,,,,,,,,,,,,66.92631161553284,3G/UMTS + 4G/LTE,"UMTS900, LTE700",2025,Optus,872191,-23.5863,132.51367,,Y,,Y,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),5.0,822.5932421976822,4G/LTE,LTE850,2025,TPG,4825002,-20.73424,139.49366,,,Y,,,,,,,,,,,7.666817840447307,Telstra,534,Papunya School,8.130918022048897,Combined,Government,Very Remote,School Single Entity,0,-23.20283,131.91031,50113,47892.0,7892.0,50113,Papunya School,8.130918022048897,Combined,Government,Very Remote,School Single Entity,0,-23.20283,131.91031,50113,47892.0,7892.0,50113,0.4641001816015899,0.4641001816015899,No,No,No,No,,70901102,Papunya Outstations,709011,Papunya and Outstations,709,Apatula,7,Northern Territory,2326.1983,Within polygon,Matched,24,37,62,8,11,9,17,17,0,35,225,574,2.0,3.9,40.0,0,3,4,43,9,0,4,29,16.7,13.0,10.9,19,ABS 2021 Census Indigenous Profile,Indigenous Location (ILOC),2021
279,ACACIA LARRAKIA,ACACIA GAP,Family Outstation,LITCHFIELD,SOUTH WARD,NORTHERN LAND COUNCIL,GOYDER,"DARWIN, PALMERSTON, LITCHFIELD",,Not recorded,-12.8142,131.1715,https://bushtel.nt.gov.au/profile/279,Not listed,Not confirmed,,,,,,,,,,,,,15.670064941254948,4G/LTE + 5G/NR + IoT,"IoT700, LTE700, LTE850, LTE1800, LTE2600, NR850, NR2600",2025,Telstra,837004,-12.6775,131.13639,,Y,Y,Y,Y,,Y,,Y,,Y,,,,,,19.30831814087424,4G/LTE + IoT,"NBIoT700, LTE700",2025,Optus,822087,-12.985684,131.143492,Y,,,Y,,,,,,,,,,,,,,,22.446109134323148,4G/LTE,"LTE850, LTE1800, LTE2100",2025,TPG,836004,-12.613261,131.151729,,,Y,Y,Y,,,,,,,,,15.670064941254948,Telstra,415,Berry Springs Primary School,22.752783129771604,Primary,Government,Outer Regional,School Single Entity,0,-12.7159,130.98749,50014,47940.0,7940.0,50014,Taminmin College,27.105465399766977,Secondary,Government,Outer Regional,School Single Entity,0,-12.58037,131.10089,50006,47964.0,7964.0,50006,11.43540045851203,7.082718188516656,No,No,No,No,,70300701,Acacia-Larrakia,703007,Litchfield,703,Darwin,7,Northern Territory,257.252,Within polygon,Matched,51,55,106,4,23,20,27,21,7,28,357,1536,1.2,3.5,13.5,0,15,16,80,34,3,32,44,6.3,42.1,39.5,27,ABS 2021 Census Indigenous Profile,Indigenous Location (ILOC),2021
979,ADBANAE,TREPANG BAY,Family Outstation,WEST ARNHEM,BARRAH,NORTHERN LAND COUNCIL,ARAFURA,TOP END,,Not recorded,-11.24167,131.97531,https://bushtel.nt.gov.au/profile/979,Not listed,Not confirmed,,,,,,,,,,,,,66.12969123058757,4G/LTE + IoT,"IoT700, LTE700, LTE850",2025,Telstra,822032,-11.1479,132.57398,,Y,Y,Y,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),1.0,140.4605489676502,3G/UMTS + 4G/LTE,"UMTS900, LTE700",2025,Optus,822107,-12.481606,131.728776,,Y,,Y,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4.0,169.30693606178315,4G/LTE + 5G/NR,"LTE850, LTE1800, LTE2100, NR700",2025,TPG,835001,-12.48268,131.07386,,,Y,Y,Y,Y,,,,,,,,66.12969123058757,Telstra,65,Mamaruni School,66.52427283968547,Combined,Government,Very Remote,School Single Entity,0,-11.14856,132.57775,50098,47955.0,7955.0,50098,Mamaruni School,66.52427283968547,Combined,Government,Very Remote,School Single Entity,0,-11.14856,132.57775,50098,47955.0,7955.0,50098,0.3945816090978979,0.3945816090978979,No,No,Yes,Yes,Review,70400401,Cobourg Peninsula - Demed Homelands,704004,North-West Arnhem,704,Jabiru - Tiwi,7,Northern Territory,23675.7318,Within polygon,Matched,145,127,279,27,57,40,102,44,3,27,239,1218,2.4,5.6,70.3,4,34,22,190,45,3,48,138,8.3,24.7,22.7,84,ABS 2021 Census Indigenous Profile,Indigenous Location (ILOC),2021
1,ADELAIDE BORE,"WOOLA,WOOLLA",Family Outstation,CENTRAL DESERT,ANMATJERE,CENTRAL LAND COUNCIL,BARKLY,CENTRAL AUSTRALIA,14.0,Homelands Service Provider Report 2023,-22.21485,133.93607,https://bushtel.nt.gov.au/profile/1,Not listed,Not confirmed,,,,,,,,,,,,,53.06045724964245,4G/LTE + IoT,"IoT700, LTE700",2025,Telstra,872001,-22.20222,133.42083,,Y,Y,,,,,,,,,,,,,,54.25005505044697,3G/UMTS + 4G/LTE,"UMTS900, LTE700",2025,Optus,872135,-22.13295,133.4167,,Y,,Y,,,,,,,,,,,,,,,598.1278427270911,4G/LTE,LTE850,2025,TPG,4825002,-20.73424,139.49366,,,Y,,,,,,,,,,,53.06045724964245,Telstra,111,Mulga Bore School,38.69417252648892,Combined,Government,Very Remote,School Single Entity,0,-22.452287,134.211096,50475,69816.0,29816.0,50475,Mulga Bore School,38.69417252648892,Combined,Government,Very Remote,School Single Entity,0,-22.452287,134.211096,50475,69816.0,29816.0,50475,-14.366284723153528,-14.366284723153528,Yes,Yes,No,Yes,,70900301,Anmatjere - Surrounds,709003,Anmatjere,709,Apatula,7,Northern Territory,49609.3293,Within polygon,Matched,59,43,104,14,10,13,33,25,7,31,226,675,1.5,4.1,40.9,4,12,6,78,0,10,15,58,80.0,19.5,3.9,24,ABS 2021 Census Indigenous Profile,Indigenous Location (ILOC),2021
895,ADJAMARRAGU,No aliases recorded with NTG DIPL,Family Outstation,WEST ARNHEM,BARRAH,NORTHERN LAND COUNCIL,ARAFURA,TOP END,,Not recorded,-11.15182,132.47559,https://bushtel.nt.gov.au/profile/895,Not listed,Not confirmed,,,,,,,,,,,,,10.7428261289751,4G/LTE + IoT,"IoT700, LTE700, LTE850",2025,Telstra,822032,-11.1479,132.57398,,Y,Y,Y,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),1.0,151.1719125366458,3G/UMTS + 4G/LTE,"UMTS900, LTE700",2025,Optus,822106,-12.42654,132.95842,,Y,,Y,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),5.0,212.3478533302132,4G/LTE,"LTE850, LTE1800, LTE2100",2025,TPG,836002,-12.55419,131.15106,,,Y,Y,Y,,,,,,,,,10.7428261289751,Telstra,486,Mamaruni School,11.151153249383292,Combined,Government,Very Remote,School Single Entity,0,-11.14856,132.57775,50098,47955.0,7955.0,50098,Mamaruni School,11.151153249383292,Combined,Government,Very Remote,School Single Entity,0,-11.14856,132.57775,50098,47955.0,7955.0,50098,0.4083271204081917,0.4083271204081917,No,No,No,No,,70400401,Cobourg Peninsula - Demed Homelands,704004,North-West Arnhem,704,Jabiru - Tiwi,7,Northern Territory,23675.7318,Within polygon,Matched,145,127,279,27,57,40,102,44,3,27,239,1218,2.4,5.6,70.3,4,34,22,190,45,3,48,138,8.3,24.7,22.7,84,ABS 2021 Census Indigenous Profile,Indigenous Location (ILOC),2021
